Year,biomass
1971,6891.61666
1972,5882.304712
1973,6402.235847
1974,8794.985894
1975,6920.292405
1976,4767.930296
1977,4164.714096
1978,7162.436719
1979,24729.6232
1980,43807
1981,45015.1
1982,33327.5
1983,39064.7
1984,46522.1
1985,40888.3
1986,32844.1
1987,47181.8
1988,62140.1
1989,44383.3
1990,27373.9
1991,31466.2
1992,49587.1
1993,34900.7
1994,22917.3
1995,31023.7
1996,39171.5
1997,47163.6
1998,55901.5
1999,59623.7
2000,55496.4
2001,66322.5
2002,68371
2003,89062.3
2004,111192
2005,97881.1
2006,84428.9
2007,83577.9
2008,100497
2009,117195
2010,114645
2011,107746
2012,76975.4
2013,74472.6
2014,71677.2
2015,64528.2
2016,72646.3
2017,63327.1
2018,56357.6
