NDJFM,YEAR
-1.1362,1951
0.3402,1952
-0.7142,1953
-0.6688,1954
-0.5076,1955
-0.65,1956
-1.2506,1957
0.2822,1958
-1.6038,1959
-0.3994,1960
-0.4914,1961
-1.1972,1962
-0.5142,1963
-1.1264,1964
-1.2342,1965
0.2786,1966
-0.4224,1967
-1.5352,1968
-1.7574,1969
-0.7412,1970
-0.0382,1971
0.7596,1972
-0.029,1973
0.3522,1974
0.4796,1975
-0.7048,1976
-1.004,1977
-0.6758,1978
-0.5886,1979
-0.0646,1980
-0.0506,1981
-0.4836,1982
-0.0312,1983
-0.8394,1984
-0.4122,1985
-1.5066,1986
-0.0024,1987
1.369,1988
1.8074,1989
-0.258,1990
0.8908,1991
1.2682,1992
0.615,1993
0.5132,1994
0.0306,1995
-0.0654,1996
-0.8206,1997
-0.3264,1998
0.3598,1999
-0.3228,2000
-0.0696,2001
0.0172,2002
-1.1826,2003
-0.2712,2004
-0.0044,2005
0.0066,2006
1.0292,2007
0.1102,2008
-1.309,2009
-0.3276,2010
-0.4452,2011
-0.2244,2012
-0.3158,2013
1.4952,2014
-0.262,2015
1.6945,2016
